estacion_origen,estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada,id_bici
106,58,3126850,04:35:10,00:31:11,05:06:21,6975
67,184,6109620,04:52:11,00:14:33,05:06:44,8997
106,58,3126850,04:39:24,00:32:05,05:11:29,1071
91,91,3126850,05:05:55,00:05:53,05:11:48,8070
93,13,3126850,05:02:15,00:10:59,05:13:14,2589
106,13,3126850,05:06:17,00:07:52,05:14:09,8840
73,72,1895160,04:58:31,00:15:57,05:14:28,1057
93,44,3126850,04:53:35,00:28:57,05:22:32,3664
148,150,6054000,05:14:48,00:10:01,05:24:49,2454
5,154,4595530,04:53:26,00:34:28,05:27:54,7524
148,150,6054000,05:14:30,00:14:22,05:28:52,1799
106,44,3126850,05:01:49,00:30:36,05:32:25,5225
106,44,3126850,05:07:51,00:28:59,05:36:50,6913
183,183,4300980,05:22:47,00:17:47,05:40:34,3487
93,44,3126850,05:08:06,00:35:32,05:43:38,5752
29,17,5187030,05:33:17,00:20:46,05:54:03,5419
183,183,4300980,05:30:12,00:24:04,05:54:16,1998
183,183,4300980,05:38:35,00:19:52,05:58:27,6107
58,8,6042050,04:57:23,01:05:14,06:02:37,8123
183,183,4300980,05:49:59,00:15:10,06:05:09,7507
29,17,5187030,05:54:57,00:11:59,06:06:56,5939
163,106,3126850,06:18:19,00:10:07,06:28:26,2241
13,106,3126850,06:21:57,00:09:40,06:31:37,5498
124,12,5925780,06:14:34,00:20:00,06:34:34,7285
13,93,3126850,06:24:40,00:13:46,06:38:26,2582
45,178,3502890,06:11:34,00:27:55,06:39:29,1340
13,93,3126850,06:26:49,00:13:47,06:40:36,2816
111,111,5520960,06:24:22,00:17:05,06:41:27,3952
163,93,3126850,06:31:23,00:13:35,06:44:58,2416
154,50,4595530,06:35:52,00:10:48,06:46:40,3928
45,32,3502890,06:41:21,00:07:14,06:48:35,3783
50,154,4595530,06:36:09,00:12:36,06:48:45,3002
38,72,1895160,06:35:20,00:13:40,06:49:00,3567
58,148,5731900,06:18:14,00:32:58,06:51:12,2928
199,47,1895160,05:57:50,00:54:17,06:52:07,8872
147,67,6061070,06:29:29,00:23:17,06:52:46,7930
106,13,3126850,06:44:33,00:08:39,06:53:12,3332
147,67,6061070,06:31:37,00:22:40,06:54:17,6206
95,104,5955230,06:25:01,00:29:25,06:54:26,6692
126,3,1764650,06:36:15,00:18:33,06:54:48,2323
36,104,5955230,06:27:37,00:28:35,06:56:12,7585
45,32,3502890,06:49:10,00:07:24,06:56:34,4292
185,72,1895160,06:32:07,00:24:56,06:57:03,4979
45,32,3502890,06:47:11,00:10:14,06:57:25,7477
147,67,6061070,06:35:29,00:22:44,06:58:13,8075
11,32,3502890,06:52:53,00:07:15,07:00:08,5249
45,32,3502890,06:52:06,00:08:25,07:00:31,2329
147,67,6061070,06:38:19,00:23:06,07:01:25,1795
14,47,1895160,06:09:45,00:51:59,07:01:44,7812
109,20,5097280,06:55:31,00:11:13,07:06:44,3734
163,93,3126850,06:35:09,00:40:20,07:15:29,7708
32,148,3502890,07:04:40,00:17:52,07:22:32,7966
32,148,3502890,07:09:32,00:18:35,07:28:07,6645
183,183,4300980,07:13:01,00:18:50,07:31:51,4769
131,93,3126850,07:08:23,00:29:01,07:37:24,3414
32,193,3502890,06:54:35,00:43:21,07:37:56,7149
194,33,5965780,07:20:16,00:20:07,07:40:23,4401
67,67,6061070,06:53:36,00:54:15,07:47:51,2039
194,33,5965780,07:25:42,00:22:21,07:48:03,1422
9,154,4595530,05:13:27,02:34:56,07:48:23,2468
75,141,6394240,07:45:13,00:07:51,07:53:04,7657
194,174,5965780,07:28:11,00:25:28,07:53:39,7202
116,141,6248700,07:34:23,00:20:06,07:54:29,5919
164,1,5023190,07:27:50,00:27:34,07:55:24,4649
160,189,2872630,07:34:46,00:21:32,07:56:18,1057
175,171,5664960,07:47:16,00:09:24,07:56:40,5212
116,141,6248700,07:38:08,00:19:14,07:57:22,5405
47,1,5023190,07:34:48,00:23:41,07:58:29,5894
160,189,2872630,07:41:41,00:19:33,08:01:14,4179
194,33,5965780,07:45:06,00:16:24,08:01:30,2053
116,59,5810010,07:53:50,00:12:03,08:05:53,4875
93,118,3126850,07:58:10,00:08:28,08:06:38,2382
193,8,6248700,07:41:31,00:26:05,08:07:36,6002
11,11,4989090,07:42:48,00:24:50,08:07:38,2225
28,184,6109620,07:50:07,00:18:32,08:08:39,1020
113,20,5097280,07:59:17,00:09:39,08:08:56,5216
116,23,5664250,07:48:10,00:22:10,08:10:20,5045
116,141,6248700,07:50:13,00:20:15,08:10:28,1434
116,23,5664250,07:48:40,00:22:18,08:10:58,5165
17,142,5187030,08:00:28,00:11:33,08:12:01,7911
161,142,5187030,08:05:14,00:10:12,08:15:26,3633
193,34,5664250,07:54:30,00:22:22,08:16:52,3214
81,1,5023190,07:48:41,00:28:27,08:17:08,1355
146,146,5095550,08:11:50,00:05:18,08:17:08,7029
193,34,5664250,07:56:30,00:21:43,08:18:13,3161
126,3,1764650,07:57:52,00:20:48,08:18:40,2474
17,36,5187030,07:52:32,00:26:19,08:18:51,4281
81,81,5170700,07:58:16,00:21:00,08:19:16,4507
193,34,5664250,08:02:20,00:19:45,08:22:05,1354
150,50,6200670,07:25:45,00:58:06,08:23:51,6503
193,34,5664250,08:05:30,00:20:28,08:25:58,5184
116,141,6248700,08:06:10,00:20:53,08:27:03,4137
116,141,6248700,08:04:08,00:24:57,08:29:05,5076
8,7,5783160,08:21:47,00:07:52,08:29:39,5289
167,13,3892850,08:11:55,00:18:04,08:29:59,2729
193,34,5664250,08:12:38,00:18:42,08:31:20,5981
117,33,5170700,08:00:36,00:31:23,08:31:59,7603
116,23,5664250,08:12:22,00:19:40,08:32:02,1324
45,93,3126850,08:11:32,00:21:19,08:32:51,5703
57,131,1895160,08:21:40,00:13:19,08:34:59,3045
146,21,5095550,08:24:08,00:11:05,08:35:13,4612
72,6,1895160,08:20:34,00:16:26,08:37:00,5548
104,104,5529760,08:31:00,00:06:26,08:37:26,1505
35,8,3892850,08:16:14,00:21:21,08:37:35,7889
25,89,4883640,08:26:59,00:10:58,08:37:57,2298
31,141,6076460,07:52:48,00:45:47,08:38:35,7812
112,61,6244540,08:35:12,00:07:32,08:42:44,1395
2,4,6044850,08:32:54,00:10:01,08:42:55,2175
98,27,5836690,08:30:48,00:13:01,08:43:49,7418
28,21,5095550,08:19:53,00:24:18,08:44:11,4823
84,88,5529760,08:34:35,00:12:24,08:46:59,8964
131,29,3892850,08:00:42,00:46:18,08:47:00,6765
98,27,5836690,08:30:12,00:16:58,08:47:10,3488
98,27,5836690,08:29:20,00:18:12,08:47:32,3647
182,125,5735920,08:41:25,00:07:26,08:48:51,8022
112,61,6244540,08:42:12,00:07:21,08:49:33,3907
84,88,5529760,08:35:30,00:14:05,08:49:35,2259
84,88,5529760,08:35:45,00:13:54,08:49:39,2072
98,174,5836690,08:32:40,00:17:27,08:50:07,2038
98,27,5836690,08:32:43,00:18:09,08:50:52,3179
84,88,5529760,08:37:49,00:13:48,08:51:37,6180
24,61,6244540,08:44:20,00:07:19,08:51:39,1534
98,27,5836690,08:36:15,00:16:16,08:52:31,4649
84,88,5529760,08:40:33,00:11:58,08:52:31,5045
166,12,5551600,08:43:43,00:08:57,08:52:40,1505
84,88,5529760,08:39:27,00:13:30,08:52:57,6374
84,88,5529760,08:37:34,00:15:31,08:53:05,6211
84,88,5529760,08:41:30,00:11:36,08:53:06,2682
84,88,5529760,08:41:26,00:11:55,08:53:21,2738
84,88,5529760,08:40:43,00:13:06,08:53:49,5288
98,27,5836690,08:37:49,00:16:11,08:54:00,4649
84,88,5529760,08:42:20,00:12:24,08:54:44,5268
84,88,5529760,08:45:01,00:09:54,08:54:55,7744
24,27,5836690,08:36:53,00:18:09,08:55:02,8163
84,88,5529760,08:42:38,00:12:38,08:55:16,4043
84,88,5529760,08:41:57,00:13:24,08:55:21,6158
98,174,5836690,08:34:38,00:21:02,08:55:40,8311
98,27,5836690,08:40:29,00:15:11,08:55:40,7543
84,88,5529760,08:42:02,00:13:45,08:55:47,6246
98,27,5836690,08:36:34,00:19:18,08:55:52,6026
84,88,5529760,08:44:20,00:12:14,08:56:34,7825
13,86,4994100,08:31:05,00:25:30,08:56:35,2082
84,88,5529760,08:43:59,00:12:43,08:56:42,1679
84,88,5529760,08:44:22,00:12:24,08:56:46,4823
84,75,5529760,08:40:07,00:16:45,08:56:52,3040
84,88,5529760,08:44:28,00:12:38,08:57:06,1000
84,88,5529760,08:46:01,00:11:29,08:57:30,6410
166,44,5551600,08:43:08,00:14:37,08:57:45,2544
84,88,5529760,08:43:52,00:13:56,08:57:48,2004
84,88,5529760,08:46:43,00:11:53,08:58:36,2047
84,88,5529760,08:46:54,00:11:49,08:58:43,3976
84,88,5529760,08:47:31,00:11:18,08:58:49,1656
84,88,5529760,08:46:08,00:12:49,08:58:57,8079
84,88,5529760,08:45:16,00:13:56,08:59:12,8467
33,194,5965780,08:41:45,00:17:43,08:59:28,8438
84,88,5529760,08:46:17,00:13:29,08:59:46,5692
98,27,5836690,08:46:48,00:13:14,09:00:02,1820
114,97,3892850,08:08:25,00:51:41,09:00:06,4440
84,88,5529760,08:48:56,00:11:11,09:00:07,4071
84,88,5529760,08:48:25,00:11:45,09:00:10,1446
166,78,5551600,08:45:29,00:14:57,09:00:26,8730
84,88,5529760,08:48:13,00:12:18,09:00:31,2467
84,88,5529760,08:45:11,00:15:37,09:00:48,4715
57,32,5494160,08:26:01,00:34:52,09:00:53,6765
76,88,5529760,08:52:13,00:08:58,09:01:11,1294
84,88,5529760,08:48:40,00:12:48,09:01:28,8885
84,88,5529760,08:46:43,00:15:19,09:02:02,7311
76,88,5529760,08:52:23,00:09:54,09:02:17,4330
193,23,5664250,08:43:07,00:19:53,09:03:00,1215
76,88,5529760,08:54:55,00:08:28,09:03:23,1564
84,88,5529760,08:49:45,00:13:58,09:03:43,7344
98,27,5836690,08:50:39,00:13:09,09:03:48,1560
127,54,6155360,08:39:47,00:24:07,09:03:54,3922
84,88,5529760,08:53:02,00:10:53,09:03:55,7897
98,27,5836690,08:44:52,00:19:04,09:03:56,2877
88,45,6394240,08:47:59,00:17:34,09:05:33,8064
84,88,5529760,08:55:10,00:10:50,09:06:00,2676
149,27,5836690,08:47:55,00:19:26,09:07:21,2107
149,27,5836690,08:52:09,00:17:06,09:09:15,8192
18,27,5836690,08:47:22,00:21:57,09:09:19,4200
116,193,6248700,08:51:02,00:18:54,09:09:56,8595
157,146,5882120,08:56:44,00:13:35,09:10:19,1948
18,27,5836690,08:51:49,00:19:11,09:11:00,5206
194,163,5377800,09:01:40,00:13:25,09:15:05,8458
193,23,5664250,08:39:20,00:36:06,09:15:26,1633
117,27,5836690,08:50:54,00:25:31,09:16:25,8406
68,32,5126030,09:09:52,00:07:38,09:17:30,8057
98,174,5836690,08:57:47,00:20:31,09:18:18,1071
148,68,6237220,08:54:04,00:25:19,09:19:23,1415
78,36,5551600,09:03:07,00:17:55,09:21:02,2840
163,45,6394240,09:04:01,00:17:12,09:21:13,1252
84,88,5529760,09:11:55,00:09:40,09:21:35,8887
12,78,5551600,09:15:40,00:07:28,09:23:08,1200
44,64,5551600,09:09:36,00:16:44,09:26:20,7315
4,26,4917160,09:18:10,00:10:27,09:28:37,4309
68,32,5126030,09:22:23,00:07:06,09:29:29,3260
157,146,5882120,09:14:22,00:15:44,09:30:06,7470
172,32,5666010,08:58:08,00:32:51,09:30:59,4006
64,175,5551600,09:13:43,00:17:35,09:31:18,7354
31,74,6076460,08:45:01,00:46:39,09:31:40,3620
194,163,5377800,09:09:28,00:25:15,09:34:43,4797
129,20,5097280,09:10:17,00:24:26,09:34:43,8992
83,32,5126030,09:23:14,00:11:51,09:35:05,7344
195,183,4300980,08:52:05,00:45:53,09:37:58,6745
113,113,5313860,09:32:49,00:06:43,09:39:32,5256
73,148,5666010,09:22:30,00:17:58,09:40:28,3239
4,26,4917160,09:31:08,00:10:01,09:41:09,2965
37,11,6112850,09:33:15,00:09:47,09:43:02,7559
49,146,5882120,09:30:28,00:13:33,09:44:01,8612
4,111,4917160,09:33:35,00:12:01,09:45:36,8238
45,93,3126850,09:29:49,00:18:37,09:48:26,4068
33,83,5751430,09:39:10,00:10:36,09:49:46,2134
29,97,3892850,09:25:31,00:24:42,09:50:13,3907
33,33,5751430,08:51:54,00:59:58,09:51:52,5052
84,88,5529760,09:38:47,00:13:14,09:52:01,1823
84,88,5529760,09:41:46,00:10:15,09:52:01,7663
113,12,5313860,09:23:17,00:28:49,09:52:06,6535
68,32,5126030,09:45:11,00:07:40,09:52:51,3194
84,88,5529760,09:40:11,00:14:06,09:54:17,5880
84,88,5529760,09:45:06,00:09:48,09:54:54,2927
68,32,5126030,09:47:28,00:07:36,09:55:04,8549
35,26,4917160,09:47:37,00:07:38,09:55:15,6401
113,12,5313860,09:29:08,00:26:18,09:55:26,6090
72,37,1895160,09:39:01,00:17:10,09:56:11,2152
84,88,5529760,09:46:49,00:10:35,09:57:24,1406
113,12,5313860,09:35:11,00:22:23,09:57:34,6480
84,88,5529760,09:46:54,00:11:18,09:58:12,6762
113,12,5313860,09:36:09,00:22:19,09:58:28,3125
91,163,2796960,08:58:47,00:59:55,09:58:42,2573
113,12,5313860,09:34:21,00:24:35,09:58:56,2675
113,12,5313860,09:36:14,00:22:57,09:59:11,5251
56,12,5313860,09:32:20,00:26:53,09:59:13,6503
148,24,5731900,09:46:31,00:12:43,09:59:14,3921
33,84,3122830,09:52:34,00:07:10,09:59:44,3671
113,12,5313860,09:34:01,00:26:02,10:00:03,7264
113,12,5313860,09:38:09,00:21:59,10:00:08,8768
56,12,5313860,09:33:01,00:27:58,10:00:59,2734
68,32,5126030,09:52:51,00:08:13,10:01:04,1795
113,12,5313860,09:36:51,00:24:37,10:01:28,2055
113,12,5313860,09:35:19,00:26:21,10:01:40,8101
84,88,5529760,09:50:50,00:10:52,10:01:42,2303
68,32,5126030,09:54:46,00:07:23,10:02:09,5893
84,95,5529760,09:49:40,00:12:54,10:02:34,2086
193,141,6248700,09:39:19,00:23:37,10:02:56,5757
4,26,4917160,09:54:14,00:09:14,10:03:28,8425
44,93,3126850,09:17:09,00:48:07,10:05:16,7547
68,32,5126030,09:58:47,00:07:10,10:05:57,6049
68,32,5126030,09:58:46,00:07:36,10:06:22,3142
18,24,5731900,09:54:56,00:13:39,10:08:35,5486
14,14,5338480,10:03:38,00:05:45,10:09:23,2460
89,64,5440160,09:55:54,00:13:37,10:09:31,7573
148,95,5731900,09:39:51,00:30:03,10:09:54,4236
182,89,5735920,09:34:50,00:36:25,10:11:15,8020
148,71,5731900,09:40:40,00:30:48,10:11:28,2061
155,29,5605040,09:26:16,00:45:25,10:11:41,5894
68,32,5126030,10:04:20,00:07:59,10:12:19,6987
68,32,5126030,10:04:52,00:09:38,10:14:30,8176
34,174,5664250,10:02:26,00:12:12,10:14:38,8925
50,76,6200670,08:29:00,01:45:57,10:14:57,4636
103,70,5440160,09:54:19,00:21:23,10:15:42,1672
62,174,5664250,10:07:21,00:10:28,10:17:49,2600
68,32,5126030,10:10:38,00:08:14,10:18:52,7235
34,174,5664250,10:10:07,00:09:29,10:19:36,5484
122,109,5097280,09:41:39,00:39:57,10:21:36,6138
56,12,5313860,09:56:12,00:25:38,10:21:50,1058
114,47,1895160,10:03:07,00:19:04,10:22:11,8568
68,48,5126030,10:12:36,00:09:51,10:22:27,4083
68,32,5126030,10:14:11,00:08:32,10:22:43,7348
193,174,2069250,10:12:14,00:11:15,10:23:29,5999
68,32,5126030,10:15:15,00:08:36,10:23:51,8409
68,32,5126030,10:16:39,00:07:13,10:23:52,3968
68,32,5126030,10:16:00,00:08:01,10:24:01,4986
8,42,5783160,10:15:20,00:09:47,10:25:07,3213
32,81,5494160,09:56:43,00:28:57,10:25:40,4702
146,178,4987430,10:16:01,00:10:00,10:26:01,1039
93,28,5817340,10:18:58,00:07:35,10:26:33,4250
33,2,5751430,09:59:04,00:27:32,10:26:36,6833
191,61,5126030,10:19:08,00:07:56,10:27:04,3762
68,32,5126030,10:18:37,00:09:01,10:27:38,2306
45,33,1622130,10:08:27,00:19:21,10:27:48,4982
95,76,5955230,10:18:07,00:10:00,10:28:07,3620
68,32,5126030,10:21:41,00:07:25,10:29:06,4189
7,7,5783160,09:56:45,00:32:28,10:29:13,2734
195,195,3073820,10:00:00,00:29:45,10:29:45,6224
18,68,5836690,10:13:49,00:16:09,10:29:58,2978
20,109,5097280,10:18:01,00:12:21,10:30:22,5857
68,48,5126030,10:21:10,00:09:29,10:30:39,5283
136,96,6076460,10:06:03,00:24:59,10:31:02,6285
150,131,6200670,10:10:23,00:20:54,10:31:17,3696
68,32,5126030,10:25:22,00:07:32,10:32:54,7855
68,32,5126030,10:26:03,00:07:18,10:33:21,2186
47,57,5731900,10:15:24,00:19:09,10:34:33,4857
68,32,5126030,10:27:07,00:07:40,10:34:47,2184
34,174,5664250,10:18:20,00:17:13,10:35:33,3255
34,174,5664250,10:23:41,00:12:40,10:36:21,7558
34,174,5664250,10:27:00,00:11:56,10:38:56,2246
45,88,6394240,10:25:00,00:14:51,10:39:51,8942
191,191,6042050,10:34:58,00:05:04,10:40:02,1081
4,26,4917160,10:33:07,00:07:20,10:40:27,4855
68,32,5126030,10:32:32,00:08:23,10:40:55,1619
24,135,5731900,10:25:41,00:15:24,10:41:05,2762
127,101,6155360,10:29:03,00:12:13,10:41:16,2658
63,174,5664250,10:30:41,00:11:13,10:41:54,2306
68,32,5126030,10:34:45,00:07:23,10:42:08,4570
27,174,5529760,10:20:15,00:22:48,10:43:03,5628
68,32,5126030,10:35:28,00:08:59,10:44:27,3577
68,32,5126030,10:38:13,00:07:31,10:45:44,2299
34,174,5664250,10:37:32,00:10:01,10:47:33,5867
189,189,2872630,10:15:25,00:32:58,10:48:23,2967
34,174,5664250,10:39:05,00:10:33,10:49:38,1273
62,55,5731900,10:26:31,00:23:53,10:50:24,8578
34,174,5664250,10:39:45,00:10:55,10:50:40,6955
26,79,4917160,10:41:42,00:08:59,10:50:41,7949
137,32,6070370,10:37:05,00:13:40,10:50:45,7152
154,174,5072780,10:34:41,00:18:29,10:53:10,8889
34,174,5664250,10:45:04,00:10:02,10:55:06,7393
87,86,4987430,10:38:42,00:16:51,10:55:33,7547
113,12,5313860,10:30:21,00:25:43,10:56:04,5386
64,70,5925780,10:29:45,00:26:59,10:56:44,2711
68,36,5836690,10:46:08,00:10:39,10:56:47,6934
116,55,5664250,10:33:40,00:23:22,10:57:02,3107
174,4,5664250,10:00:58,00:57:09,10:58:07,8173
6,32,5666010,09:55:52,01:03:12,10:59:04,8905
101,127,6155360,10:48:44,00:10:30,10:59:14,7855
89,190,5440160,10:51:23,00:08:54,11:00:17,7290
193,55,5664250,10:36:00,00:24:28,11:00:28,3634
64,160,5551600,10:41:02,00:19:33,11:00:35,6002
95,83,5955230,10:51:13,00:09:48,11:01:01,3647
27,91,2796960,10:41:21,00:19:58,11:01:19,2165
34,174,5664250,10:47:24,00:16:04,11:03:28,4505
33,91,2796960,10:46:55,00:16:42,11:03:37,1867
63,24,5664250,10:49:18,00:14:31,11:03:49,2517
60,45,5664250,10:58:23,00:07:58,11:06:21,7674
33,33,5751430,10:02:49,01:04:03,11:06:52,2877
68,32,5126030,11:00:28,00:07:42,11:08:10,7884
84,174,5529760,10:57:38,00:10:47,11:08:25,3079
34,174,5664250,10:55:23,00:13:26,11:08:49,3776
8,19,6042050,10:44:25,00:28:21,11:12:46,6069
116,93,3126850,10:42:21,00:30:27,11:12:48,2329
174,23,5664250,11:03:01,00:10:09,11:13:10,3213
